id;the_geom;junction;type;lanes;maxspeed;oneway;foot;bicycle;access;bus;parking_la;sidewalk;cycleway
roads.91;MULTILINESTRING ((1.5033567000000003 43.521322000000005, 1.5032992 43.521297));;residential;1;50.0;;;;;;;;
roads.92;MULTILINESTRING ((1.5033567000000003 43.521322000000005, 1.5035153 43.521390899999986));;residential;1;50.0;;;;;;;;
roads.93;MULTILINESTRING ((1.5035153 43.521390899999986, 1.5033567000000003 43.521322000000005));;residential;1;50.0;;;;;;;;
roads.94;MULTILINESTRING ((1.5035153 43.521390899999986, 1.5038344000000001 43.52152939999999));;residential;1;50.0;;;;;;;;
roads.95;MULTILINESTRING ((1.5038344000000001 43.52152939999999, 1.5035153 43.521390899999986));;residential;1;50.0;;;;;;;;
roads.96;MULTILINESTRING ((1.5038344000000001 43.52152939999999, 1.5041007 43.5216594, 1.5042928000000004 43.5217825));;residential;1;50.0;;;;;;;;
roads.97;MULTILINESTRING ((1.5042928000000004 43.5217825, 1.5041007 43.5216594, 1.5038344000000001 43.52152939999999));;residential;1;50.0;;;;;;;;
roads.98;MULTILINESTRING ((1.5042928000000004 43.5217825, 1.5043144000000002 43.5217937));;residential;1;50.0;;;;;;;;
roads.99;MULTILINESTRING ((1.5043144000000002 43.5217937, 1.5042928000000004 43.5217825));;residential;1;50.0;;;;;;;;
roads.100;MULTILINESTRING ((1.5043144000000002 43.5217937, 1.5044168000000002 43.52183479999999));;residential;1;50.0;;;;;;;;
roads.101;MULTILINESTRING ((1.5044168000000002 43.52183479999999, 1.5043144000000002 43.5217937));;residential;1;50.0;;;;;;;;
roads.102;MULTILINESTRING ((1.5022056999999998 43.5174773, 1.5022882999999998 43.517498300000014, 1.5026299 43.517619200000006));;tertiary;1;50.0;;;;;;;;
roads.103;MULTILINESTRING ((1.5026299 43.517619200000006, 1.5022882999999998 43.517498300000014, 1.5022056999999998 43.5174773));;tertiary;1;50.0;;;;;;;;
roads.104;MULTILINESTRING ((1.5026299 43.517619200000006, 1.5030925999999998 43.5177829, 1.5031635000000003 43.517807099999985));;tertiary;1;50.0;;;;;;;;
roads.105;MULTILINESTRING ((1.5031635000000003 43.517807099999985, 1.5030925999999998 43.5177829, 1.5026299 43.517619200000006));;tertiary;1;50.0;;;;;;;;
roads.106;MULTILINESTRING ((1.5031635000000003 43.517807099999985, 1.5036927000000004 43.5179877));;tertiary;1;50.0;;;;;;;;
roads.107;MULTILINESTRING ((1.5036927000000004 43.5179877, 1.5031635000000003 43.517807099999985));;tertiary;1;50.0;;;;;;;;
roads.108;MULTILINESTRING ((1.5036927000000004 43.5179877, 1.5040055 43.518107699999995));;tertiary;1;50.0;;;;;;;;
roads.109;MULTILINESTRING ((1.5040055 43.518107699999995, 1.5036927000000004 43.5179877));;tertiary;1;50.0;;;;;;;;
roads.110;MULTILINESTRING ((1.5040055 43.518107699999995, 1.504148 43.5181656));;tertiary;1;50.0;;;;;;;;
roads.111;MULTILINESTRING ((1.504148 43.5181656, 1.5040055 43.518107699999995));;tertiary;1;50.0;;;;;;;;
roads.112;MULTILINESTRING ((1.504148 43.5181656, 1.5044416 43.5182778, 1.5045765999999998 43.5183251, 1.5048013 43.51839799999998));;tertiary;1;50.0;;;;;;;;
roads.113;MULTILINESTRING ((1.5048013 43.51839799999998, 1.5045765999999998 43.5183251, 1.5044416 43.5182778, 1.504148 43.5181656));;tertiary;1;50.0;;;;;;;;
roads.114;MULTILINESTRING ((1.5048013 43.51839799999998, 1.5048514999999998 43.51841449999999));;tertiary;1;50.0;;;;;;;;
roads.115;MULTILINESTRING ((1.5048514999999998 43.51841449999999, 1.5048013 43.51839799999998));;tertiary;1;50.0;;;;;;;;
roads.116;MULTILINESTRING ((1.5048514999999998 43.51841449999999, 1.5049537000000002 43.518448199999995));;tertiary;1;50.0;;;;;;;;
roads.117;MULTILINESTRING ((1.5049537000000002 43.518448199999995, 1.5048514999999998 43.51841449999999));;tertiary;1;50.0;;;;;;;;
roads.118;MULTILINESTRING ((1.5049537000000002 43.518448199999995, 1.5053324000000001 43.518574199999996, 1.5056408 43.51870059999999, 1.5062037000000001 43.51894759999998));;tertiary;1;50.0;;;;;;;;
roads.119;MULTILINESTRING ((1.5062037000000001 43.51894759999998, 1.5056408 43.51870059999999, 1.5053324000000001 43.518574199999996, 1.5049537000000002 43.518448199999995));;tertiary;1;50.0;;;;;;;;
roads.120;MULTILINESTRING ((1.5062037000000001 43.51894759999998, 1.5062435000000003 43.5189644));;tertiary;1;50.0;;;;;;;;
roads.121;MULTILINESTRING ((1.5062435000000003 43.5189644, 1.5062037000000001 43.51894759999998));;tertiary;1;50.0;;;;;;;;
roads.122;MULTILINESTRING ((1.5062435000000003 43.5189644, 1.5064945999999997 43.51907279999998));;tertiary;1;50.0;;;;;;;;
roads.123;MULTILINESTRING ((1.5064945999999997 43.51907279999998, 1.5062435000000003 43.5189644));;tertiary;1;50.0;;;;;;;;
roads.124;MULTILINESTRING ((1.5081479 43.51977849999999, 1.5081786999999998 43.51975010000001, 1.5082191000000003 43.51972889999999, 1.5082658 43.519716499999994, 1.5083155 43.51971379999996, 1.5083643 43.51972100000001, 1.5084085999999999 43.519737500000005));roundabout;tertiary;1;50.0;;;;;;;;
roads.125;MULTILINESTRING ((1.5084085999999999 43.519737500000005, 1.5083643 43.51972100000001, 1.5083155 43.51971379999996, 1.5082658 43.519716499999994, 1.5082191000000003 43.51972889999999, 1.5081786999999998 43.51975010000001, 1.5081479 43.51977849999999));;tertiary;1;50.0;;;;;;;;
roads.126;MULTILINESTRING ((1.5084085999999999 43.519737500000005, 1.5084399000000002 43.519757799999994, 1.5084638999999997 43.51978279999999, 1.5084792999999999 43.5198112, 1.5084853000000003 43.519841299999975, 1.5084816000000003 43.519871599999995, 1.5084684000000002 43.519900499999984));roundabout;tertiary;1;50.0;;;;;;;;
roads.127;MULTILINESTRING ((1.5084684000000002 43.519900499999984, 1.5084816000000003 43.519871599999995, 1.5084853000000003 43.519841299999975, 1.5084792999999999 43.5198112, 1.5084638999999997 43.51978279999999, 1.5084399000000002 43.519757799999994, 1.5084085999999999 43.519737500000005));;tertiary;1;50.0;;;;;;;;
roads.128;MULTILINESTRING ((1.5069651000000002 43.519267400000004, 1.5071002 43.519324999999974));;tertiary;1;30.0;;;;;;;;
roads.129;MULTILINESTRING ((1.5071002 43.519324999999974, 1.5069651000000002 43.519267400000004));;tertiary;1;30.0;;;;;;;;
roads.130;MULTILINESTRING ((1.5071002 43.519324999999974, 1.5079611000000002 43.519691200000004));;tertiary;1;30.0;;;;;;;;
roads.131;MULTILINESTRING ((1.5079611000000002 43.519691200000004, 1.5071002 43.519324999999974));;tertiary;1;30.0;;;;;;;;
roads.132;MULTILINESTRING ((1.5079611000000002 43.519691200000004, 1.5079902000000003 43.519704299999994));;tertiary;1;30.0;;;;;;;;
roads.133;MULTILINESTRING ((1.5079902000000003 43.519704299999994, 1.5079611000000002 43.519691200000004));;tertiary;1;30.0;;;;;;;;
